label,position,start time,end time,patient_number,description,link
מקלות וניל בעפולה,"32.603578, 35.296038
",2020-02-25T11:22:00+02:00,2020-02-25T11:59:00+02:00,7,חולה מס׳ 7 שחזר מאיטליה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/29022020_1.aspx
חדר כושר אתנה במגדל העמק,"32.687929, 35.246797",2020-02-25T18:00:00+02:00,2020-02-25T20:00:00+02:00,7,חולה מס׳ 7 שחזר מאיטליה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/29022020_1.aspx
בנק דיסקונט במגדל העמק,"32.676933, 35.239217",2020-02-27T08:30:00+02:00,2020-02-27T09:30:00+02:00,7,חולה מס׳ 7 שחזר מאיטליה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/29022020_1.aspx
מסעדת אחוזה בעפולה,"32.599948, 35.295150",2020-02-27T14:00:00+02:00,2020-02-27T15:30:00+02:00,7,חולה מס׳ 7 שחזר מאיטליה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/29022020_1.aspx
שופרסל אזור תעשייה מגדל העמק,"32.666738, 35.239837",2020-02-27T17:00:00+02:00,2020-02-27T18:00:00+02:00,7,חולה מס׳ 7 שחזר מאיטליה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/29022020_2.aspx
מתפרה בקומה התחתונה של קניון אור יהודה,"32.025683, 34.858086",2020-02-25T12:00:00+02:00,2020-02-25T12:30:00+02:00,10,חולה מס׳ 10,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/02032020_1.aspx
הפיראט האדום,"32.0228009, 34.861666",2020-02-24T13:00:00+02:00,2020-02-24T22:00:00+02:00,10,חולה מס׳ 10,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/02032020_1.aspx
הפיראט האדום,"32.0228009, 34.861666",2020-02-25T12:30:00+02:00,2020-02-25T23:59:00+02:00,10,חולה מס׳ 10,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/02032020_1.aspx
הפיראט האדום,"32.0228009, 34.861666",2020-02-26T00:00:00+02:00,2020-02-26T00:30:00+02:00,10,חולה מס׳ 10,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/02032020_1.aspx
הפיראט האדום,"32.0228009, 34.861666",2020-02-26T15:00:00+02:00,2020-02-26T21:30:00+02:00,10,חולה מס׳ 10,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/02032020_1.aspx
שוק הים באשדוד,"31.796529, 34.629749",2020-02-26T11:00:00+02:00,2020-02-26T13:00:00+02:00,12,חולה מס׳ 12,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/02032020_3.aspx
מכון גו-אקטיב מרום נווה ברמת גן,"32.0714043,34.8281033",2020-02-27T10:20:00+02:00,2020-02-27T13:00:00+02:00,11,חולה מס׳ 11 השתתפה בשיעור פלנדקרייז שהחל בשעה 10:20 ובשיעור התעמלות שהתקיים בין 12:00-12:45,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/02032020-3.aspx
פרשמרקט במתחם מרום נווה,"32.0714604,34.8279486",2020-02-27T13:10:00+02:00,2020-02-27T13:45:00+02:00,11,חולה מס׳ 11,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/02032020-3.aspx
הפיראט האדום,"32.0228009, 34.861666",2020-02-23T16:30:00+02:00,2020-02-23T21:00:00+02:00,13,חולה מס׳ 13,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/04032020_3.aspx
הפיראט האדום,"32.0228009, 34.861666",2020-02-24T16:30:00+02:00,2020-02-24T21:00:00+02:00,13,חולה מס׳ 13,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/04032020_3.aspx
הפיראט האדום,"32.0228009, 34.861666",2020-02-25T16:30:00+02:00,2020-02-25T21:00:00+02:00,13,חולה מס׳ 13,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/04032020_3.aspx
הפיראט האדום,"32.0228009, 34.861666",2020-02-26T16:30:00+02:00,2020-02-26T21:00:00+02:00,13,חולה מס׳ 13,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/04032020_3.aspx
ביה״ס איזורי ברנר,"31.869072, 34.806136",2020-02-24T00:00:00+02:00,2020-02-24T23:59:00+02:00,13,מקום ביקור של חולה מס׳ 13. בהתאם להנחיות משרד הבריאות על כל תלמידי ביה״ס ברנר כולל המורים אנשי הצוות וההסעות להכנס לבידוד.,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/04032020_3.aspx
ביה״ס איזורי ברנר,"31.869072, 34.806136",2020-02-25T00:00:00+02:00,2020-02-25T23:59:00+02:00,13,מקום ביקור של חולה מס׳ 13. בהתאם להנחיות משרד הבריאות על כל תלמידי ביה״ס ברנר כולל המורים אנשי הצוות וההסעות להכנס לבידוד.,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/04032020_3.aspx
ביה״ס איזורי ברנר,"31.869072, 34.806136",2020-02-26T00:00:00+02:00,2020-02-26T23:59:00+02:00,13,מקום ביקור של חולה מס׳ 13. בהתאם להנחיות משרד הבריאות על כל תלמידי ביה״ס ברנר כולל המורים אנשי הצוות וההסעות להכנס לבידוד.,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/04032020_3.aspx
אצטדיון בלומפילד - שער 8,"32.051678, 34.761865",2020-02-24T20:00:00+02:00,2020-02-24T22:00:00+02:00,13,מקום ביקור של חולה מס׳ 13. כל מי ששהה באיצטדיון בלומפילד במשחק הכדורגל וישב בשער 7-8 גוש 425 בין השורות 43-49 כולל ובכל השורות בכיסאות 169-179 כולל - מתבקש להיכנס לבידוד.,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/04032020_4.aspx
ביה״ס אביגדור ורשה,"32.052998, 34.855811",2020-02-26T07:00:00+02:00,2020-02-26T13:00:00+02:00,14,מקום ביקור של חולה מס׳ 14,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/04032020_5.aspx
אולם ספורט ליד ספריה עירונית גני תקווה,"32.063762, 34.872818",2020-02-26T17:15:00+02:00,2020-02-26T18:00:00+02:00,14,מקום ביקור של חולה מס׳ 14,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/04032020_5.aspx
"חתונה ב""הרמוניה בגן"" (האולם מימין לכניסה) בצומת כנות","31.804431, 34.761447",2020-02-26T19:30:00+02:00,2020-02-26T22:30:00+02:00,14,מקום ביקור של חולה מס׳ 14,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/04032020_5.aspx
קניון קריית אונו,"32.055449, 34.863602",2020-02-27T18:00:00+02:00,2020-02-27T20:30:00+02:00,14,מקום ביקור של חולה מס׳ 14: נעלי TOGO; רנואר נשים (קומה עליונה); פוקס נשים (קומת כניסה); פוקס קידס (קומת כניסה) וסופרמרקט מגה בעיר,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/04032020_5.aspx
ביה״ס אביגדור ורשה,"32.052998, 34.855811",2020-02-28T07:30:00+02:00,2020-02-28T12:00:00+02:00,14,מקום ביקור של חולה מס׳ 14,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/04032020_5.aspx
קפה רימון ממילה,"31.777409, 35.224419",2020-02-23T21:30:00+02:00,2020-02-23T23:30:00+02:00,,מקום ביקור של חולה מניו יורק,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/05032020_1.aspx
זארה,"31.777634, 35.223710",2020-02-23T21:30:00+02:00,2020-02-23T23:30:00+02:00,,מקום ביקור של חולה מניו יורק,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/05032020_1.aspx
